Date,WIL5000,BofA_AAA,BofA_BBB,BofA_CCC,Gold
2010-01-04,44.66,445.45,504.68,227.32,1121.5
2010-01-05,44.8,448.15,508.33,229.12,1123.25
2010-01-06,44.86,446.99,508.06,231.0,1130.0
2010-01-07,45.04,446.48,508.62,233.5,1130.25
2010-01-08,45.19,446.9,509.95,233.83,1126.75
2010-01-11,45.25,446.8,510.36,234.3,1153.0
2010-01-12,44.78,449.53,513.45,234.11,1151.25
2010-01-13,45.18,447.85,511.75,233.93,1127.25
2010-01-14,45.29,449.86,513.65,234.18,1138.25
2010-01-15,44.79,451.06,514.93,234.31,1128.0
2010-01-19,45.37,450.06,514.11,234.06,1133.0
2010-01-20,44.91,451.07,515.46,233.86,1120.25
2010-01-21,44.12,452.6,516.6,233.18,1108.25
2010-01-22,43.17,452.66,516.33,231.43,1084.0
2010-01-25,43.34,451.8,514.72,230.38,1095.25
2010-01-26,43.15,451.9,514.54,230.49,1093.25
2010-01-27,43.37,451.93,514.33,230.56,1094.75
2010-01-28,42.86,451.5,513.97,230.91,1088.0
2010-01-29,42.43,453.17,515.72,230.81,1078.5
2010-02-01,43.03,451.84,514.03,230.58,1086.5
2010-02-02,43.56,452.29,514.91,230.68,1111.0
2010-02-03,43.34,450.45,513.18,231.24,1115.25
2010-02-04,41.96,452.77,515.29,230.34,1083.25
2010-02-05,42.09,454.17,516.36,227.93,1058.0
2010-02-08,41.75,453.5,514.85,226.86,1064.0
2010-02-09,42.29,452.28,513.23,225.92,1071.25
2010-02-10,42.21,450.48,511.4,224.08,1069.5
2010-02-11,42.69,450.44,510.7,223.77,1076.25
2010-02-12,42.68,451.56,511.78,223.6,1082.0
2010-02-16,43.44,452.48,512.72,224.5,1115.25
2010-02-17,43.66,450.07,510.61,227.0,1119.0
2010-02-18,43.93,449.06,509.93,228.46,1118.0
2010-02-19,44.04,449.64,511.16,229.58,1112.75
2010-02-22,44.02,449.66,511.41,230.57,1115.25
2010-02-23,43.48,452.73,514.75,230.05,1107.0
2010-02-24,43.88,452.72,514.75,229.86,1103.0
2010-02-25,43.84,454.34,516.38,229.64,1094.5
2010-02-26,43.9,455.91,518.16,230.19,1108.25
2010-03-01,44.42,455.18,517.65,231.07,1114.0
2010-03-02,44.57,455.38,518.66,232.15,1126.5
2010-03-03,44.6,454.94,518.49,232.72,1136.5
2010-03-04,44.76,455.64,519.36,233.17,1134.5
2010-03-05,45.41,454.29,517.78,234.43,1135.0
2010-03-08,45.44,454.3,518.14,235.85,1125.75
2010-03-09,45.53,454.51,518.86,236.8,1115.75
2010-03-10,45.78,453.92,518.74,237.46,1120.5
2010-03-11,45.97,453.77,519.24,236.79,1104.0
2010-03-12,45.98,454.8,519.86,237.16,1106.25
2010-03-15,45.96,455.06,520.32,237.22,1104.25
2010-03-16,46.33,456.56,522.14,237.1,1124.75
2010-03-17,46.6,456.67,522.76,237.89,1121.75
2010-03-18,46.55,456.05,522.38,238.37,1122.75
2010-03-19,46.25,455.84,522.35,238.48,1105.5
2010-03-22,46.55,456.53,523.36,238.17,1097.25
2010-03-23,46.9,456.16,523.03,238.68,1101.5
2010-03-24,46.64,452.69,519.13,239.18,1090.75
2010-03-25,46.52,451.3,517.89,239.52,1093.0
2010-03-26,46.54,452.5,519.33,239.83,1096.5
2010-03-29,46.82,452.44,519.68,240.34,1107.5
2010-03-30,46.84,452.55,519.86,240.37,1107.0
2010-03-31,46.67,453.96,521.32,240.17,1115.5
2010-04-01,47.03,453.46,520.95,240.42,1123.5
2010-04-06,47.6,450.6,518.46,241.74,1132.75
2010-04-07,47.35,453.43,521.9,242.59,1142.0
2010-04-08,47.49,453.07,521.36,242.63,1148.0
2010-04-09,47.82,453.27,521.93,243.21,1152.5
2010-04-12,47.92,454.57,523.65,244.01,1158.75
2010-04-13,47.97,455.45,524.98,244.85,1148.25
2010-04-14,48.56,454.59,524.15,245.77,1153.75
2010-04-15,48.59,454.99,524.98,246.96,1154.5
2010-04-16,47.83,457.23,527.5,246.97,1151.5
2010-04-19,47.96,456.32,526.69,246.37,1136.25
2010-04-20,48.4,456.55,527.29,247.08,1144.75
2010-04-21,48.4,458.27,529.46,247.68,1143.0
2010-04-22,48.6,457.6,528.64,247.52,1133.75
2010-04-23,48.96,456.47,527.5,248.3,1139.5
2010-04-26,48.77,456.82,527.78,249.28,1154.5
2010-04-27,47.62,460.27,531.08,249.32,1149.5
2010-04-28,47.88,458.01,528.3,248.66,1161.0
2010-04-29,48.55,459.37,529.71,249.17,1166.75
2010-04-30,47.7,461.22,531.8,249.34,1179.25
2010-05-04,47.15,462.88,532.99,248.78,1185.0
2010-05-05,46.77,464.5,533.06,247.02,1165.0
2010-05-06,45.22,468.97,535.4,243.49,1185.25
2010-05-07,44.44,466.44,529.92,240.85,1202.25
2010-05-10,46.46,463.27,528.72,243.16,1196.5
2010-05-11,46.38,463.15,528.21,241.95,1222.5
2010-05-12,47.14,462.17,528.08,243.79,1237.5
2010-05-13,46.61,462.58,529.06,244.6,1237.5
2010-05-14,45.7,466.17,532.06,242.71,1236.5
2010-05-17,45.74,466.16,531.12,241.75,1236.0
2010-05-18,45.08,467.95,533.38,241.19,1216.75
2010-05-19,44.79,467.34,531.6,239.32,1195.0
2010-05-20,42.98,468.3,531.19,235.19,1192.0
2010-05-21,43.63,469.69,531.46,234.47,1179.75
2010-05-24,43.1,469.11,529.95,234.83,1187.0
2010-05-25,43.1,470.36,529.31,231.29,1198.25
2010-05-26,42.96,467.62,527.43,233.25,1212.0
2010-05-27,44.46,464.6,524.44,234.37,1211.0
2010-05-28,43.92,465.37,526.15,234.98,1207.5
